Question,Options,Correct Answer,Model Answer,Is Correct,Reasoning
"A 23-year-old pregnant woman at 22 weeks gestation presents with burning upon urination. She states it started 1 day ago and has been worsening despite drinking more water and taking cranberry extract. She otherwise feels well and is followed by a doctor for her pregnancy. Her temperature is 97.7°F (36.5°C), blood pressure is 122/77 mmHg, pulse is 80/min, respirations are 19/min, and oxygen saturation is 98% on room air. Physical exam is notable for an absence of costovertebral angle tenderness and a gravid uterus. Which of the following is the best treatment for this patient?","{'A': 'Ampicillin', 'B': 'Ceftriaxone', 'C': 'Doxycycline', 'D': 'Nitrofurantoin'}",D,D,True,"We are given a clinical scenario: 23-year-old pregnant woman at 22 weeks gestation with dysuria (burning upon urination) for 1 day, no fever, no CVA tenderness, normal vitals. Likely diagnosis: uncomplicated urinary tract infection (UTI) or cystitis in pregnancy. Question asks for the best treatment. Options: A. Ampicillin, B. Ceftriaxone, C. Doxycycline, D. Nitrofurantoin.

We need to select the best antibiotic for UTI in pregnancy. 

Important considerations:
- Pregnancy safety: avoid drugs that are teratogenic or harmful in pregnancy.
- Doxycycline is a tetracycline; contraindicated in pregnancy due to adverse effects on fetal bone and teeth development. So C is out.
- Ampicillin (or amoxicillin) is sometimes used, but resistance rates are high and not first-line for UTI generally. However, what do guidelines say for UTI in pregnancy? 
- Ceftriaxone is a third-generation cephalosporin, typically used for pyelonephritis or more serious infections, often IV or IM. For uncomplicated cystitis, oral antibiotics are preferred. Overkill.
- Nitrofurantoin is commonly used as first-line for uncomplicated cystitis. In pregnancy: historically avoided near term (38-42 weeks) due to risk of hemolytic anemia in newborns with G6PD deficiency, but considered safe in second trimester. Current guidelines allow nitrofurantoin in pregnancy except near term. ACOG and others: nitrofurantoin is a first-line agent for UTI in pregnancy (during the second trimester, and can be used in first trimester if needed, but some caution in first trimester due to possible birth defects risk, though evidence is mixed). But the patient is at 22 weeks (second trimester), so nitrofurantoin is appropriate.

Best answer: Nitrofurantoin. 

Confirm: 
- Ampicillin: resistance is high; not first-line unless culture shows susceptibility. 
- Ceftriaxone: parenteral, for severe infections.
- Doxycycline: contraindicated in pregnancy.
- Nitrofurantoin: oral, first-line for uncomplicated cystitis in pregnancy in second trimester.

Thus answer D."
A 3-month-old baby died suddenly at night while asleep. His mother noticed that he had died only after she awoke in the morning. No cause of death was determined based on the autopsy. Which of the following precautions could have prevented the death of the baby?,"{'A': 'Placing the infant in a supine position on a firm mattress while sleeping', 'B': 'Keeping the infant covered and maintaining a high room temperature', 'C': 'Application of a device to maintain the sleeping position', 'D': 'Avoiding pacifier use during sleep'}",A,A,True,"We are given a medical question about a 3-month-old baby who died suddenly during sleep. No cause of death was found at autopsy. This is a classic scenario for Sudden Infant Death Syndrome (SIDS). The question asks which precaution could have prevented the death.

We need to recall SIDS prevention guidelines. Known risk reduction strategies include: placing infant on their back (supine) to sleep on a firm mattress, avoiding overheating, avoiding soft bedding, using a pacifier during sleep, room-sharing without bed-sharing, etc.

Options:
A. Placing the infant in a supine position on a firm mattress while sleeping -> This aligns with ""Back to Sleep"" campaign, a major SIDS prevention measure.
B. Keeping the infant covered and maintaining a high room temperature -> Overheating is a risk factor for SIDS, so this is incorrect.
C. Application of a device to maintain the sleeping position -> Positioners are not recommended and can be dangerous; they might increase risk.
D. Avoiding pacifier use during sleep -> Pacifier use is actually protective against SIDS, so avoiding it would not prevent SIDS, it might increase risk.

Thus, the correct answer is A."
"A mother brings her 3-week-old infant to the pediatrician's office because she is concerned about his feeding habits. He was born without complications and has not had any medical problems up until this time. However, for the past 4 days, he has been fussy, is regurgitating all of his feeds, and his vomit is yellow in color. On physical exam, the child's abdomen is minimally distended but no other abnormalities are appreciated. Which of the following embryologic errors could account for this presentation?","{'A': 'Abnormal migration of ventral pancreatic bud', 'B': 'Complete failure of proximal duodenum to recanalize', 'C': 'Abnormal hypertrophy of the pylorus', 'D': 'Failure of lateral body folds to move ventrally and fuse in the midline'}",A,A,True,"We are given a medical scenario: a 3-week-old infant with 4 days of fussiness, regurgitating all feeds, vomit is yellow (bilious). Exam: abdomen minimally distended but no other abnormalities. We need to identify which embryologic error accounts for this presentation.

First, understand the presentation: 3-week-old infant, bilious vomiting. Bilious vomiting in a neonate/infant is a surgical emergency until proven otherwise, often indicating a bowel obstruction distal to the ampulla of Vater (where bile enters the duodenum). The classic differential for bilious vomiting in neonates includes malrotation with midgut volvulus, duodenal atresia (usually distal to ampulla, but can be proximal? Actually duodenal atresia often has bilious vomiting if atresia is distal to ampulla; most are distal), jejunal atresia, ileal atresia, meconium ileus, etc.

Now options:
A. Abnormal migration of ventral pancreatic bud -> annular pancreas. Annular pancreas can cause duodenal obstruction. Pancreas forms from ventral and dorsal buds; ventral bud rotates around duodenum and fuses. Abnormal migration can lead to a ring of pancreatic tissue around the duodenum causing obstruction. It can present with bilious vomiting if the obstruction is distal to the ampulla of Vater. Usually presents in infancy or childhood, but can present in neonate.

B. Complete failure of proximal duodenum to recanalize -> duodenal atresia. Duodenal atresia usually presents with bilious vomiting (if distal to ampulla) within first days of life. It's a congenital obstruction. The question says infant is 3 weeks old, vomiting for past 4 days. But duodenal atresia would present shortly after birth, not at 3 weeks. ""He was born without complications and has not had any medical problems up until this time. However, for the past 4 days..."" So symptoms started at about 2.5 weeks of age. This is a bit late for complete duodenal atresia. Also duodenal atresia often has distention? Not necessarily; could be scaphoid if high obstruction. But the timeline argues against complete atresia.

C. Abnormal hypertrophy of the pylorus -> hypertrophic pyloric stenosis. This presents with non-bilious projectile vomiting, usually around 3-6 weeks of age. Vomit is NOT yellow (not bilious). The question says vomit is yellow (bilious). So this is wrong.

D. Failure of lateral body folds to move ventrally and fuse in the midline -> this describes gastroschisis or omphalocele? Lateral body folds failure to fuse leads to abdominal wall defects like gastroschisis or omphalocele. The question says no abnormalities on physical exam except minimal abdominal distention. So no abdominal wall defect visible. Doesn't fit.

Now, consider option A more closely. Annular pancreas: the ventral pancreatic bud abnormally migrates, encasing the duodenum. This can cause partial or complete duodenal obstruction. Often presents later (not immediately at birth) if the obstruction is partial. In neonates, it can present with bilious vomiting and minimal distention. Age of presentation can be delayed if the obstruction is incomplete. The question says 3-week-old with 4 days of symptoms; could be partial obstruction becoming complete or symptomatic later. This fits better than complete duodenal atresia which is usually symptomatic from birth.

Let's double-check duodenal atresia: it's due to failure of recanalization of the duodenum during weeks 8-10. Most cases present shortly after birth with vomiting, often bilious (85% are distal to ampulla). If it's complete atresia, the infant would vomit from birth. ""He was born without complications and has not had any medical problems up until this time. However, for the past 4 days..."" So he was feeding well for ~2.5 weeks, then developed vomiting. This suggests the obstruction is not a complete atresia from birth, but rather something that developed or became symptomatic later. Annular pancreas can present with partial obstruction that worsens over time, or can present later. Pyloric stenosis is non-bilious.

What about malrotation with volvulus? That's not an embryologic error listed. Malrotation is due to abnormal rotation and fixation of the midgut. The options are specific embryologic errors. Option A is abnormal migration of ventral pancreatic bud, which is the embryologic basis for annular pancreas.

Also, ""Complete failure of proximal duodenum to recanalize"" would be duodenal atresia. ""Proximal duodenum"" is interesting; most duodenal atresias are distal to ampulla, but some are proximal. If it's proximal, vomit would be non-bilious. But ""complete failure of proximal duodenum to recanalize"" could mean atresia of proximal duodenum, which might be supra-ampullary. But the question says vomit is yellow, so it's bilious. So that doesn't match. If it's distal, the question says ""proximal duodenum"" specifically. So B is less likely.

Also, the typical timing of hypertrophic pyloric stenosis is 3-6 weeks, but it's non-bilious.

Annular pancreas can present later in infancy with partial obstruction. The clinical presentation of bilious vomiting in a 3-week-old with minimal distention and an otherwise normal exam suggests a high intestinal obstruction that is partial (since it didn't present at birth). Annular pancreas fits.

The embryologic error of annular pancreas is abnormal migration of the ventral pancreatic bud. So A is correct.

I will answer A."
"A pulmonary autopsy specimen from a 58-year-old woman who died of acute hypoxic respiratory failure was examined. She had recently undergone surgery for a fractured femur 3 months ago. Initial hospital course was uncomplicated, and she was discharged to a rehab facility in good health. Shortly after discharge home from rehab, she developed sudden shortness of breath and had cardiac arrest. Resuscitation was unsuccessful. On histological examination of lung tissue, fibrous connective tissue around the lumen of the pulmonary artery is observed. Which of the following is the most likely pathogenesis for the present findings?","{'A': 'Thromboembolism', 'B': 'Pulmonary ischemia', 'C': 'Pulmonary hypertension', 'D': 'Pulmonary passive congestion'}",A,A,True,"We are asked: ""Medical Question: A pulmonary autopsy specimen from a 58-year-old woman who died of acute hypoxic respiratory failure was examined. She had recently undergone surgery for a fractured femur 3 months ago. Initial hospital course was uncomplicated, and she was discharged to a rehab facility in good health. Shortly after discharge home from rehab, she developed sudden shortness of breath and had cardiac arrest. Resuscitation was unsuccessful. On histological examination of lung tissue, fibrous connective tissue around the lumen of the pulmonary artery is observed. Which of the following is the most likely pathogenesis for the present findings?""

Options:
A. Thromboembolism
B. Pulmonary ischemia
C. Pulmonary hypertension
D. Pulmonary passive congestion

We need to interpret the histology finding: ""fibrous connective tissue around the lumen of the pulmonary artery"". This description suggests an organizing thrombus or embolus, or perhaps a recanalized thrombus/embolus. The clinical scenario is a patient who had surgery for fractured femur 3 months ago, then after discharge home (presumably after a period of immobilization or surgery), she develops sudden shortness of breath and cardiac arrest, dying of acute hypoxic respiratory failure. This is classic for pulmonary embolism (thromboembolism) from deep vein thrombosis, often associated with orthopedic surgery (like hip or femur fracture). The ""fibrous connective tissue around the lumen"" suggests an older, organized thromboembolus that may have recanalized, or it could be a new embolus superimposed on older organized material? Actually, ""fibrous connective tissue around the lumen"" maybe indicates an organized thrombus that has become adherent to the vessel wall, or a recanalized thrombus (where you see multiple lumens with fibrous septa). But the question says ""fibrous connective tissue around the lumen of the pulmonary artery"". This could describe the histology of a chronic thromboembolus that has organized. However, the patient died suddenly. This could be due to a new acute embolus, but the histological finding described is fibrous tissue, indicating a prior event? Or perhaps the fibrous tissue is the organized embolus from the surgery 3 months ago, which then caused chronic thromboembolic pulmonary hypertension, and she died of acute on chronic? However, the question asks ""Which of the following is the most likely pathogenesis for the present findings?"" The ""present findings"" likely refer to the histological finding of fibrous connective tissue around the lumen. The pathogenesis of that finding would be organization of a thromboembolus. Thromboembolism leads to an embolus that organizes over time. Pulmonary ischemia is not a pathogenesis for fibrous tissue around a lumen; it's a consequence. Pulmonary hypertension can cause vascular remodeling (medial hypertrophy, intimal fibrosis), but typically the description is not ""fibrous connective tissue around the lumen"" of the pulmonary artery, but rather concentric intimal fibrosis or plexiform lesions. Pulmonary passive congestion is associated with left heart failure, leading to hemosiderin-laden macrophages, not fibrous tissue around pulmonary artery lumens. The classic finding of organizing thromboembolus is a fibrous attachment to the vessel wall, or recanalization with multiple lumens separated by fibrous tissue. The history of surgery 3 months ago is a risk factor for DVT/PE. She had a sudden death shortly after discharge, consistent with PE. The histology could be showing an organized embolus (from a previous silent PE) or a new embolus that is organizing? Alternatively, the ""fibrous connective tissue around the lumen"" could be remnants of a prior thromboembolism that has organized. The pathogenesis of this histological finding is thromboembolism. So answer A seems correct.

Let's double-check: Pulmonary hypertension can cause intimal fibrosis, but it's more diffuse and not typically described as ""around the lumen"" like a recanalized thrombus. The vignette strongly suggests thromboembolism. Fibrous connective tissue around the lumen suggests an organized, recanalized thrombus (or embolus) — ""web-like"" or bands. This is a classic pathology description for chronic thromboemboli. Thus, pathogenesis: Thromboembolism (A)."
"A 20-year-old woman presents with menorrhagia for the past several years. She says that her menses “have always been heavy”, and she has experienced easy bruising for as long as she can remember. Family history is significant for her mother, who had similar problems with bruising easily. The patient's vital signs include: heart rate 98/min, respiratory rate 14/min, temperature 36.1°C (96.9°F), and blood pressure 110/87 mm Hg. Physical examination is unremarkable. Laboratory tests show the following: platelet count 200,000/mm3, PT 12 seconds, and PTT 43 seconds. Which of the following is the most likely cause of this patient’s symptoms?","{'A': 'Hemophilia A', 'B': 'Lupus anticoagulant', 'C': 'Protein C deficiency', 'D': 'Von Willebrand disease'}",D,D,True,"We are asked: ""A 20-year-old woman presents with menorrhagia for the past several years. She says that her menses “have always been heavy”, and she has experienced easy bruising for as long as she can remember. Family history is significant for her mother, who had similar problems with bruising easily. The patient's vital signs include: heart rate 98/min, respiratory rate 14/min, temperature 36.1°C (96.9°F), and blood pressure 110/87 mm Hg. Physical examination is unremarkable. Laboratory tests show the following: platelet count 200,000/mm3, PT 12 seconds, and PTT 43 seconds. Which of the following is the most likely cause of this patient’s symptoms?

Options:
A. Hemophilia A
B. Lupus anticoagulant
C. Protein C deficiency
D. Von Willebrand disease""

We need to select D, Von Willebrand disease. Let's analyze why.

- Young woman with lifelong history of menorrhagia and easy bruising. Family history positive (mother). This suggests an inherited bleeding disorder.
- Labs: Platelet count normal (200k), PT normal (12 sec, usually 11-13.5), PTT prolonged (43 sec, usually 25-35). So isolated prolonged PTT.
- Hemophilia A is X-linked recessive, mostly males affected, presents with prolonged PTT, low factor VIII. It is possible in a female carrier with skewed X-inactivation or homozygous, but very rare, and more commonly affects males. Also von Willebrand disease is more common and classically presents with menorrhagia and easy bruising in females, and can prolong PTT due to factor VIII decrease (vWF stabilizes factor VIII). Also vWD is autosomal dominant (or recessive depending on type), and often affects women with menorrhagia. Type 1 vWD is most common.
- Lupus anticoagulant: causes prolonged PTT, but is acquired, associated with thrombosis (not bleeding), and often no family history. It's not an inherited bleeding disorder.
- Protein C deficiency: causes thrombosis, not bleeding. PT and PTT are normal.
- Therefore most likely is D. Von Willebrand disease.

Answer: D"
"A 40-year-old zookeeper presents to the emergency department complaining of severe abdominal pain that radiates to her back, and nausea. The pain started 2 days ago and slowly increased until she could not tolerate it any longer. Past medical history is significant for hypertension and hypothyroidism. Additionally, she reports that she was recently stung by one of the zoo’s smaller scorpions, but did not seek medical treatment. She takes aspirin, levothyroxine, oral contraceptive pills, and a multivitamin daily. Family history is noncontributory. Today, her blood pressure is 108/58 mm Hg, heart rate is 99/min, respiratory rate is 21/min, and temperature is 37.0°C (98.6°F). On physical exam, she is a well-developed, obese female that looks unwell. Her heart has a regular rate and rhythm. Radial pulses are weak but symmetric. Her lungs are clear to auscultation bilaterally. Her lateral left ankle is swollen, erythematous, and painful to palpate. An abdominal CT is consistent with acute pancreatitis. Which of the following is the most likely etiology for this patient’s disease?","{'A': 'Aspirin', 'B': 'Oral contraceptive pills', 'C': 'Scorpion sting', 'D': 'Hypothyroidism'}",C,C,True,"We are asked: ""Which of the following is the most likely etiology for this patient’s disease?"" The disease is acute pancreatitis. The patient is a 40-year-old zookeeper with HTN, hypothyroidism, takes aspirin, levothyroxine, OCPs, multivitamin. Recently stung by a scorpion. Abdominal CT shows acute pancreatitis. Options: Aspirin, OCPs, Scorpion sting, Hypothyroidism.

We need to determine the most likely cause of acute pancreatitis among these.

First, common causes of acute pancreatitis: gallstones, alcohol, hypertriglyceridemia, ERCP, drugs, infections, trauma, hypercalcemia, scorpion stings (specifically Tityus trinitatis, etc.), etc.

Let's evaluate each option:

- Aspirin: Not a common cause of pancreatitis. Some NSAIDs can rarely cause pancreatitis, but aspirin is not high on the list.
- Oral contraceptive pills: Estrogens can cause hypertriglyceridemia, which can lead to pancreatitis. OCPs are a known but rare cause of drug-induced pancreatitis.
- Scorpion sting: Certain scorpion stings (e.g., Tityus species, Centruroides) can cause acute pancreatitis via venom-induced stimulation of pancreatic secretion. It is a recognized cause.
- Hypothyroidism: Not a known cause of pancreatitis. Hypertriglyceridemia associated with hypothyroidism? Severe hypothyroidism can cause hyperlipidemia, but she is on levothyroxine, suggesting it's treated.

Given the history: ""she was recently stung by one of the zoo’s smaller scorpions"" - this is a strong clue. The question mentions the scorpion sting explicitly. Also, ""smaller scorpion"" might imply it's not a typical dangerous one? But many scorpions can cause pancreatitis. In medical exams, scorpion stings (specifically, Tityus trinitatis in Trinidad) are a classic cause of acute pancreatitis. The patient is a zookeeper, recently stung by a scorpion. This is likely the intended answer.

OCPs are a possible cause, but the temporal relation with the sting is emphasized. Also, the sting is recent, and symptoms started 2 days ago. OCPs she takes daily, chronic medication, less likely to be the acute cause without other factors.

Aspirin and hypothyroidism are less likely.

Thus, the most likely etiology is Scorpion sting.

Answer: C."
"A 25-year-old primigravida presents to her physician for a routine prenatal visit. She is at 34 weeks gestation, as confirmed by an ultrasound examination. She has no complaints, but notes that the new shoes she bought 2 weeks ago do not fit anymore. The course of her pregnancy has been uneventful and she has been compliant with the recommended prenatal care. Her medical history is unremarkable. She has a 15-pound weight gain since the last visit 3 weeks ago. Her vital signs are as follows: blood pressure, 148/90 mm Hg; heart rate, 88/min; respiratory rate, 16/min; and temperature, 36.6℃ (97.9℉). The blood pressure on repeat assessment 4 hours later is 151/90 mm Hg. The fetal heart rate is 151/min. The physical examination is significant for 2+ pitting edema of the lower extremity. Which of the following tests o should confirm the probable condition of this patient?","{'A': 'Bilirubin assessment', 'B': 'Coagulation studies', 'C': 'Leukocyte count with differential', 'D': '24-hour urine protein'}",D,D,True,"We need to analyze the case. Patient is 25-year-old primigravida at 34 weeks, presenting with rapid weight gain (15 lbs in 3 weeks), new-onset edema (shoes don't fit, 2+ pitting edema lower extremity), and hypertension (148/90 then 151/90, which is elevated: systolic >=140 or diastolic >=90 on two occasions at least 4 hours apart). She is at 34 weeks. No complaints, but findings are consistent with preeclampsia. Preeclampsia definition: new-onset hypertension (>=140/90) after 20 weeks gestation with proteinuria, or in the absence of proteinuria, new-onset hypertension with signs/symptoms (thrombocytopenia, renal insufficiency, impaired liver function, pulmonary edema, cerebral symptoms). Here we have signs of preeclampsia (hypertension, edema, rapid weight gain). The question asks which test should confirm the probable condition. The condition is preeclampsia. The confirmatory test is 24-hour urine protein to assess for proteinuria (>=300 mg in 24 hours). Alternatively, a urine protein/creatinine ratio can be used. But among the options, 24-hour urine protein is the classic confirmatory test. Bilirubin assessment for HELLP? Coagulation studies? Leukocyte count with differential for infection? The most likely condition is preeclampsia, so D is the answer."
A 3900-g (8.6-lb) male infant is delivered at 39 weeks' gestation via spontaneous vaginal delivery. Pregnancy and delivery were uncomplicated but a prenatal ultrasound at 20 weeks showed a defect in the pleuroperitoneal membrane. Further evaluation of this patient is most likely to show which of the following findings?,"{'A': 'Gastric fundus in the thorax', 'B': 'Pancreatic ring around the duodenum', 'C': 'Hypertrophy of the gastric pylorus', 'D': 'Large bowel in the inguinal canal'}",A,A,True,"We are given a medical scenario: a 3900-g male infant at 39 weeks, uncomplicated pregnancy/delivery, but prenatal ultrasound at 20 weeks showed a defect in the pleuroperitoneal membrane. We need to predict what further evaluation is most likely to show.

First, recall embryology. The pleuroperitoneal membrane is involved in the formation of the diaphragm. A defect in the pleuroperitoneal membrane typically leads to a congenital diaphragmatic hernia (CDH), usually a Bochdalek hernia (posterolateral defect). This allows abdominal contents to herniate into the thorax. The most common content to herniate is the intestines (small bowel, large bowel), but stomach, spleen, liver can also herniate. In a left-sided Bochdalek hernia (most common), the stomach and intestines can be in the thorax.

Now look at the options:
A. Gastric fundus in the thorax - this suggests a hiatal hernia or diaphragmatic hernia where stomach is in the thorax. In CDH, stomach can be in the thorax (especially left-sided).
B. Pancreatic ring around the duodenum - this describes annular pancreas, which causes duodenal obstruction, not related to pleuroperitoneal membrane defect.
C. Hypertrophy of the gastric pylorus - this is hypertrophic pyloric stenosis, not related to pleuroperitoneal membrane.
D. Large bowel in the inguinal canal - this is an inguinal hernia, not directly related to pleuroperitoneal membrane defect.

The pleuroperitoneal membrane defect is a direct cause of congenital diaphragmatic hernia. Among the options, A (gastric fundus in the thorax) is a manifestation of diaphragmatic hernia. So A is most likely.

Thus, answer is A."
"A 62-year-old woman presents for a regular check-up. She complains of lightheadedness and palpitations which occur episodically. Past medical history is significant for a myocardial infarction 6 months ago and NYHA class II chronic heart failure. She also was diagnosed with grade I arterial hypertension 4 years ago. Current medications are aspirin 81 mg, atorvastatin 10 mg, enalapril 10 mg, and metoprolol 200 mg daily. Her vital signs are a blood pressure of 135/90 mm Hg, a heart rate of 125/min, a respiratory rate of 14/min, and a temperature of 36.5°C (97.7°F). Cardiopulmonary examination is significant for irregular heart rhythm and decreased S1 intensity. ECG is obtained and is shown in the picture (see image). Echocardiography shows a left ventricular ejection fraction of 39%. Which of the following drugs is the best choice for rate control in this patient?","{'A': 'Atenolol', 'B': 'Diltiazem', 'C': 'Propafenone', 'D': 'Digoxin'}",D,D,True,"We are given a clinical scenario: 62-year-old woman with lightheadedness, palpitations, past history of MI 6 months ago, NYHA class II chronic heart failure, grade I arterial hypertension. Current meds: aspirin, atorvastatin, enalapril, metoprolol 200 mg daily. Vitals: BP 135/90, HR 125, RR 14, temp 36.5. Irregular heart rhythm, decreased S1 intensity. ECG is obtained (not shown but we can infer from description: irregular heart rhythm, decreased S1 intensity suggests atrial fibrillation, especially with irregular rhythm). Echo shows LVEF 39% (reduced ejection fraction, heart failure with reduced ejection fraction). The question: Which drug is best for rate control in this patient? Options: Atenolol, Diltiazem, Propafenone, Digoxin.

Patient already on metoprolol 200 mg daily. Metoprolol is a beta-blocker used for rate control in atrial fibrillation. However, her heart rate is 125, suggesting inadequate rate control despite metoprolol. She has HFrEF (LVEF 39%). In atrial fibrillation with heart failure with reduced ejection fraction, the options for rate control are beta-blockers and digoxin. Non-dihydropyridine calcium channel blockers (diltiazem, verapamil) are contraindicated in HFrEF because they can worsen heart failure. Propafenone is a class Ic antiarrhythmic used for rhythm control, but it's contraindicated in structural heart disease (like prior MI and HFrEF) due to proarrhythmic risk (CAST trial). Atenolol is another beta-blocker, but patient is already on metoprolol; switching or adding another beta-blocker might not be the best choice if beta-blockade is already maxed out or she's on a high dose. Digoxin is recommended for rate control in patients with HFrEF and atrial fibrillation, especially if beta-blockers are insufficient or not tolerated. Guidelines: In AF with HFrEF, rate control options are beta-blockers and digoxin; diltiazem and verapamil are contraindicated in HFrEF. So adding digoxin to metoprolol is the appropriate next step for rate control.

Thus, the best choice is D. Digoxin."
A 35-year-old male presents to his primary care physician with complaints of seasonal allergies. He has been using intranasal vasoconstrictors several times per day for several weeks. What is a likely sequela of the chronic use of topical nasal decongestants?,"{'A': 'Epistaxis', 'B': 'Permanent loss of smell', 'C': 'Persistent nasal crusting', 'D': 'Persistent congestion'}",D,D,True,"We are asked: ""A 35-year-old male presents to his primary care physician with complaints of seasonal allergies. He has been using intranasal vasoconstrictors several times per day for several weeks. What is a likely sequela of the chronic use of topical nasal decongestants?""

Options:
A. Epistaxis
B. Permanent loss of smell
C. Persistent nasal crusting
D. Persistent congestion

Chronic use of topical nasal decongestants (vasoconstrictors like oxymetazoline) can lead to rhinitis medicamentosa, which is rebound congestion (persistent congestion) when the medication wears off, leading to a cycle of overuse. The key sequela is persistent congestion (rebound nasal congestion). The question asks ""What is a likely sequela of the chronic use of topical nasal decongestants?"" D. Persistent congestion.

Let's double-check: Epistaxis can occur but is not the classic chronic sequela. Permanent loss of smell is not typical; loss of smell can occur but usually associated with other conditions. Persistent nasal crusting can happen but is not the hallmark. Rhinitis medicamentosa is rebound congestion, hence persistent congestion.

Answer: D"
